Year,arrivals
2003-5,30048
2003-6,31836
2003-7,43743
2003-8,42111
2003-9,36054
2003-10,49922
2003-11,54946
2003-12,57722
2004-1,49950
2004-2,43584
2004-3,38418
2004-4,30672
2004-5,30162
2004-6,32119
2004-7,50525
2004-8,48675
2004-9,51525
2004-10,59442
2004-11,64971
2004-12,66159
2005-1,38187
2005-2,36645
2005-3,50418
2005-4,42261
2005-5,40878
2005-6,45699
2005-7,56745
2005-8,51216
2005-9,43536
2005-10,44095
2005-11,48457
2005-12,51171
2006-1,52103
2006-2,52687
2006-3,54746
2006-4,49776
2006-5,43825
2006-6,44066
2006-7,55354
2006-8,52931
2006-9,38485
2006-10,38815
2006-11,37591
2006-12,39224
2007-1,56553
2007-2,43051
2007-3,35031
2007-4,33039
2007-5,26307
2007-6,30810
2007-7,44142
2007-8,44742
2007-9,37104
2007-10,37011
2007-11,45102
2007-12,61116
2008-1,56916
2008-2,40551
2008-3,38049
2008-4,29747
2008-5,31140
2008-6,27960
2008-7,32982
2008-8,30672
2008-9,29529
2008-10,35103
2008-11,36901
2008-12,48925
2009-1,38468
2009-2,34169
2009-3,34065
2009-4,26054
2009-5,24739
2009-6,30234
2009-7,42223
2009-8,41207
2009-9,37983
2009-10,37575
2009-11,44311
2009-12,56862
2010-1,50757
2010-2,57300
2010-3,52352
2010-4,38300
2010-5,35213
2010-6,44730
2010-7,63339
2010-8,55898
2010-9,47339
2010-10,52370
2010-11,72251
2010-12,84627
2011-1,74197
2011-2,65797
2011-3,75130
2011-4,63835
2011-5,48943
2011-6,53636
2011-7,83786
2011-8,72463
2011-9,60219
2011-10,69563
2011-11,90889
2011-12,97517
2012-1,85874
2012-2,83549
2012-3,91102
2012-4,69591
2012-5,57506
2012-6,65245
2012-7,90338
2012-8,79456
2012-9,71111
2012-10,80379
2012-11,109202
2012-12,122252
2013-1,110543
2013-2,113968
2013-3,113208
2013-4,80737
2013-5,74838
2013-6,90279
2013-7,107016
2013-8,123269
2013-9,90339
2013-10,107058
2013-11,109420
2013-12,153918
2014-1,146575
2014-2,141878
2014-3,133048
2014-4,112631
2014-5,90046
2014-6,103175
2014-7,133971
2014-8,140319
2014-9,105535
2014-10,121576
2014-11,119727
2014-12,178672
2015-1,156246
2015-2,165541
2015-3,157051
2015-4,122217
2015-5,113529
2015-6,115467
2015-7,175804
2015-8,166610
2015-9,143374
2015-10,132280
2015-11,144147
2015-12,206114
2016-1,194280
2016-2,197697
2016-3,192841
2016-4,136367
2016-5,125044
2016-6,118038
2016-7,209351
2016-8,186288
2016-9,148499
2016-10,150419
2016-11,167217
2016-12,224791
2017-1,219360
2017-2,197517
2017-3,188076
2017-4,160249
2017-5,121891
2017-6,123351
2017-7,205482
2017-8,190928
2017-9,145077
2017-10,152429
2017-11,167511
2017-12,244536
2018-1,238924
2018-2,235618
2018-3,233382
2018-4,180429
2018-5,129466
2018-6,146828
2018-7,217829
2018-8,200359
2018-9,149087
2018-10,153123
2018-11,195582
2018-12,253169
2019-1,244239
2019-2,252033
2019-3,244328
2019-4,166975
2019-5,137802
2019-6,143072
2019-7,115701
2019-8,143587
2019-9,108575
2019-10,118743
2019-11,176984
2019-12,241663
2020-1,228434
2020-2,207507
2020-3,71370
2020-4,0
2020-5,0
2020-6,0
2020-7,0
2020-8,0
2020-9,0
2020-10,0
2020-11,0
2020-12,0
2021-1,1682
2021-2,3366
2021-3,4581
2021-4,4168
2021-5,1497
2021-6,1614
2021-7,2429
2021-8,5040
2021-9,13547
